start_date,end_date,status,progress,duration_in_seconds,finished,recorded_date,response_id,distribution_channel,user_language,q_recaptcha_score,age,employed,hours_week,job_function,job_function_11_text,job_level,job_level_6_text,tenure_years,check_01,task_clarity,performance_criteria,solution_clarity,task_judgment,ai_tools,ai_tools_9_text,ai_frequency,ai_percent,ai_activities,ai_integration,ai_speed,ai_quality,ai_verification,relative_performance,formal_evaluation,evaluation_outcome,deadline_performance,quality_performance,output_volume,digital_comfort,experience_years,attention_check,job_description,employment_confirm,eligible
2026-02-25 10:30:14,2026-02-25 10:33:49,0,100,215,1,2026-02-25 10:33:50,R_7DV5GOeohPrHi1P,anonymous,EN,1,1,1,40,3,NA,5,NA,3,1,4,4,4,2,3,NA,3,5,"1,3,6",2,4,4,2,3,2,NA,4,4,4,4,30,4,"Owner, e-commerce business.",1,1
2026-02-25 10:30:26,2026-02-25 10:33:51,0,100,205,1,2026-02-25 10:33:52,R_6rd1TDp0S70tRct,anonymous,EN,0.8999999761581421,1,1,50,4,NA,1,NA,18,1,2,4,2,5,1,NA,4,10,"1,4",2,4,4,3,4,1,4,5,5,4,4,30,4,I am a Sales Engineer for a start up software company.,1,1
2026-02-25 10:28:02,2026-02-25 10:34:19,0,100,377,1,2026-02-25 10:34:20,R_16Valmy65iacRXP,anonymous,EN,1,1,1,40,11,Consulting,1,NA,1,1,4,3,4,1,1,NA,3,5,2,1,4,4,1,3,2,NA,4,4,4,3,7,4,I work with Architects and Engineers on their designs as I prepare their drawings to be ready to be filed at the Department of Buildings,1,1
2026-02-25 10:28:12,2026-02-25 10:34:27,0,100,375,1,2026-02-25 10:34:28,R_6ZGn3gE8uC2f30t,anonymous,EN,1,1,1,50,3,NA,2,NA,6,1,2,2,1,5,1,NA,6,10,"1,2,3",5,5,5,2,4,1,5,5,5,5,5,11,4,I manage a team that assemebles motor control systems,1,1
2026-02-25 10:31:46,2026-02-25 10:34:45,0,100,179,1,2026-02-25 10:34:46,R_1HpkqgiXNI63m3l,anonymous,EN,0.8999999761581421,1,1,40,11,Forestry/Logging,1,NA,13,1,5,5,5,1,10,NA,1,0,7,1,3,3,2,3,1,3,5,5,4,5,13,4,"I work in a small team on trees; falling, pruning, etc.",1,1
2026-02-25 10:32:25,2026-02-25 10:34:50,0,100,145,1,2026-02-25 10:34:51,R_5tYcQpAfWf43Smt,anonymous,EN,1,1,1,40,1,NA,1,NA,18,1,4,4,4,2,10,NA,1,0,7,1,1,1,4,3,1,4,5,5,5,2,18,4,I am a web application tester.,1,1
2026-02-25 10:31:51,2026-02-25 10:34:57,0,100,186,1,2026-02-25 10:34:58,R_1yj9LwF5s2ZPdki,anonymous,EN,1,1,1,40,11,Scientist,1,NA,5,1,4,4,4,4,1,NA,3,1,1,2,4,4,4,3,1,3,4,4,4,4,10,4,Scientist working in biosafety testing,1,1
2026-02-25 10:32:01,2026-02-25 10:35:22,0,100,201,1,2026-02-25 10:35:22,R_7Z8tGxOviqQmP1T,anonymous,EN,1,1,1,40,10,NA,3,NA,5,1,4,4,4,4,"2,8",NA,4,5,"5,6",2,3,3,4,3,1,2,5,4,3,4,14,4,I am a Program Manager,1,1
2026-02-25 10:27:38,2026-02-25 10:35:23,0,100,464,1,2026-02-25 10:35:24,R_65MijN9s1dGV5VT,anonymous,EN,1,1,1,40,6,NA,3,NA,1.6,1,4,4,4,2,"1,2,7",NA,5,25,"1,2,5",4,5,5,1,4,1,4,5,5,5,4,8,4,Financial reporting and budgets,1,1
2026-02-25 10:32:21,2026-02-25 10:35:33,0,100,191,1,2026-02-25 10:35:33,R_1etyA8eGOSd6LzW,anonymous,EN,1,1,1,40,2,NA,1,NA,1,1,3,2,2,4,"1,2",NA,5,10,"1,2,4,5",3,4,2,5,3,2,NA,4,5,2,5,8,4,I am a scientist.,1,1
2026-02-25 10:29:49,2026-02-25 10:35:51,0,100,361,1,2026-02-25 10:35:51,R_5qBdrhgskJ4skmJ,anonymous,EN,1,1,1,35,11,education,3,NA,9,1,4,4,3,4,"2,5",NA,6,30,"1,2,3,6",3,4,4,3,3,1,3,4,4,4,4,9,4,I am a teacher at a charter school,1,1
2026-02-25 10:33:04,2026-02-25 10:35:56,0,100,171,1,2026-02-25 10:35:56,R_6s4et7Tp1Z6zUH6,anonymous,EN,1,1,1,40,1,NA,1,NA,1.75,1,4,4,3,4,1,NA,6,40,4,5,5,5,3,4,1,4,5,5,5,5,6,4,"I am a software developer tasked with writing code, tests, implementing new features, and fixing bugs.",1,1
2026-02-25 10:30:15,2026-02-25 10:36:27,0,100,372,1,2026-02-25 10:36:27,R_5RNLod3XsrMeeI1,anonymous,EN,1,1,1,32,8,NA,1,NA,9.3,1,5,3,5,1,10,NA,1,0,7,1,1,1,3,3,2,NA,3,3,3,3,32.3,4,customer service for a logistics company,1,1
2026-02-25 10:33:09,2026-02-25 10:37:03,0,100,233,1,2026-02-25 10:37:03,R_6rx30NE89vzOoct,anonymous,EN,1,1,1,40,4,NA,4,NA,3,1,3,3,4,4,"1,2,5,7",NA,5,20,"1,2,3,6",4,4,4,2,3,1,3,4,4,4,4,22,4,I am responsible for sales in my organization.,1,1
2026-02-25 10:34:40,2026-02-25 10:37:21,0,100,161,1,2026-02-25 10:37:22,R_5nUd4eSVBh6EoPn,anonymous,EN,1,1,1,40,2,NA,1,NA,2,1,4,4,4,3,"1,3",NA,5,15,"1,2,3,4,6",3,4,3,3,4,1,5,5,4,4,5,13,4,I run data analysis for an HR/leadership/coaching consultancy firm,1,1
2026-02-25 10:33:18,2026-02-25 10:37:41,0,100,263,1,2026-02-25 10:37:41,R_1KuT3XZEPAov7dO,anonymous,EN,1,1,1,40,8,NA,1,NA,8,1,4,4,4,4,2,NA,4,20,2,4,4,5,4,3,2,NA,4,4,4,4,22,4,I work as a caregiver helping seniors,1,1
2026-02-25 10:29:58,2026-02-25 10:37:44,0,100,465,1,2026-02-25 10:37:44,R_3SAWpWs0kiFdJuG,anonymous,EN,1,1,1,40,2,NA,1,NA,9,1,4,4,4,2,2,NA,2,3,"3,6",2,4,3,2,4,1,4,4,4,5,5,9,4,I perform DNA extraction on crop samples,1,1
2026-02-25 10:34:13,2026-02-25 10:38:03,0,100,230,1,2026-02-25 10:38:04,R_5XYKH6T8j8wItUJ,anonymous,EN,1,1,1,40,11,Administrative,1,NA,8.5,1,5,5,5,2,1,NA,6,35,"1,2,3,5,6",5,5,5,1,4,1,4,5,4,4,5,26,4,I am an office technician who performs data entry and data analysis.,1,1
2026-02-25 10:34:39,2026-02-25 10:38:30,0,100,231,1,2026-02-25 10:38:30,R_5rTASbAC4zZ1hnL,anonymous,EN,1,1,1,40,2,NA,1,NA,1.8,1,4,3,2,5,8,NA,6,80,"2,5",5,3,3,4,3,1,2,5,3,4,4,5,4,Rating and classifying any issues in terms of AI helpfulness in terms of search quality.,1,1
2026-02-25 10:34:19,2026-02-25 10:38:30,0,100,251,1,2026-02-25 10:38:31,R_3OUAZxOwxWYHq1t,anonymous,EN,1,1,1,40,1,NA,2,NA,3,1,4,4,4,2,9,ChatGPT,6,30,"1,2,3,4,5",5,5,5,1,5,2,NA,5,5,5,5,27,4,Computer programmer lead,1,1
2026-02-25 10:35:28,2026-02-25 10:39:24,0,100,236,1,2026-02-25 10:39:25,R_3lnkPvGHEmWhxWT,anonymous,EN,1,1,1,45,11,I do all of the above aside from operation.,4,NA,9.0,1,2,2,2,4,1,NA,6,10,"1,2,3",4,4,4,2,5,2,NA,5,5,4,5,27,4,"I manage the whole company a/p, a/r, sales, IT, dispatch, admin etc.",1,1
2026-02-25 10:38:12,2026-02-25 10:39:57,0,100,105,1,2026-02-25 10:39:57,R_6Ufm44K8F2705du,anonymous,EN,1,1,1,40,2,NA,1,NA,3,1,4,4,4,3,10,NA,1,0,7,2,2,2,2,3,2,NA,4,4,4,3,37,4,I do freelance data entry,1,1
2026-02-25 10:36:44,2026-02-25 10:40:13,0,100,208,1,2026-02-25 10:40:13,R_6OH0lArIGQSxFXL,anonymous,EN,1,1,1,40,10,NA,4,NA,8,1,2,4,4,2,1,NA,5,25,"1,3,6",4,5,5,2,4,2,NA,4,4,4,4,35,4,Director of Operations for an event company,1,1
2026-02-25 10:34:20,2026-02-25 10:40:25,0,100,365,1,2026-02-25 10:40:26,R_7VLk8Vnm1e3KgJH,anonymous,EN,1,1,1,60,11,Graphic Design,5,NA,2,1,4,4,4,2,3,NA,6,30,"2,6",4,4,4,2,3,2,NA,3,3,4,4,30,4,I am a graphic designer,1,1
2026-02-25 10:36:59,2026-02-25 10:40:28,0,100,209,1,2026-02-25 10:40:29,R_3hyF5Xb7rDz6wt3,anonymous,EN,1,1,1,40,9,NA,3,NA,1,1,5,5,3,5,"1,2",NA,6,10,"1,2,3,6",4,5,4,2,4,1,4,5,5,5,4,8,4,QA Manager,1,1
2026-02-25 10:35:43,2026-02-25 10:40:55,0,100,311,1,2026-02-25 10:40:55,R_1eRI0R6Rzhmb0i2,anonymous,EN,1,1,1,40,2,NA,1,NA,2.7,1,5,5,4,2,"1,2,3,9",deepseek,6,10,"2,3,4,5",4,4,5,1,4,1,4,4,4,4,5,14,4,data analyst,1,1
2026-02-25 10:34:39,2026-02-25 10:41:30,0,100,411,1,2026-02-25 10:41:31,R_54wwPHytddtKob7,anonymous,EN,1,1,1,36,8,NA,2,NA,1,1,4,4,4,2,10,NA,1,0,7,1,2,2,2,4,2,NA,5,4,4,4,20,4,veterinary nurse in a small animal clinic,1,1
2026-02-25 10:36:12,2026-02-25 10:41:31,0,100,319,1,2026-02-25 10:41:32,R_3PmIxDj3dw5xUxs,anonymous,EN,1,1,1,50,1,NA,4,NA,4,1,4,4,2,4,"1,2,3",NA,4,5,"2,4",2,4,2,4,4,2,NA,4,4,4,4,26,4,"Manage employees, manage projects, manage programs, some training, some hiring, quality control",1,1
2026-02-25 10:37:54,2026-02-25 10:41:44,0,100,229,1,2026-02-25 10:41:44,R_5UzeaOOCi7MDHTH,anonymous,EN,0.8999999761581421,1,1,40,1,NA,3,NA,10.5,1,5,5,5,1,10,NA,1,0,7,1,1,1,3,3,1,4,5,5,3,4,27,4,I am a systems administrator.,1,1
2026-02-25 10:41:11,2026-02-25 10:42:11,0,100,60,1,2026-02-25 10:42:11,R_3D5EIJbpvuOkoOi,anonymous,EN,1,1,1,45,1,NA,2,NA,1,1,5,4,5,2,"2,4,8",NA,6,30,"1,2,4",5,5,5,2,5,1,5,5,5,5,5,5,4,Lead software engineer for a team of 6 developers,1,1
2026-02-25 10:38:03,2026-02-25 10:44:05,0,100,361,1,2026-02-25 10:44:05,R_70doRkKSHEMqLol,anonymous,EN,1,1,1,40,6,NA,4,NA,6,1,4,4,3,5,2,NA,4,2,"1,2,3,6",2,4,3,3,4,1,4,5,4,3,4,16,4,"Director of finance. Support internal accounting, external reporting, FPA, and investor relations.",1,1
2026-02-25 10:30:18,2026-02-25 10:44:14,0,100,836,1,2026-02-25 10:44:15,R_6I75RokNOloF47b,anonymous,EN,1,1,1,40,7,NA,3,NA,6,1,5,5,5,1,10,NA,6,30,"1,2,3,5",3,5,5,2,5,1,4,5,5,5,5,6,4,I handle all HR processes and the department,1,1
2026-02-25 10:41:28,2026-02-25 10:44:37,0,100,189,1,2026-02-25 10:44:37,R_6kSvAo9Dtgf4Is2,anonymous,EN,0.8999999761581421,1,1,40,11,Education/teacher,1,NA,18,1,3,3,4,4,"1,2,5",NA,5,30,"1,3,6",4,4,4,2,5,1,4,4,4,4,4,40,4,"I teach 9th-12th grade students at an urban, public high school.",1,1
2026-02-25 10:36:45,2026-02-25 10:44:39,0,100,473,1,2026-02-25 10:44:39,R_5hDQiMg2Ntw4uyw,anonymous,EN,1,1,1,40,3,NA,3,NA,5,1,4,5,5,4,"1,2",NA,6,20,5,5,5,5,3,4,1,5,5,5,5,5,10,4,I do back-end work for a lead gen company and set up integrations into various CRM platforms.,1,1
2026-02-25 10:40:13,2026-02-25 10:44:45,0,100,272,1,2026-02-25 10:44:46,R_56GRpHYNwiFgobT,anonymous,EN,1,1,1,45,11,Writing educational materials,1,NA,16,1,5,5,4,2,"1,3,4",NA,6,20,"1,3",4,5,5,2,3,2,NA,4,4,2,5,37,4,I create educational materials and sell them online (paperback and digital) for teachers and homeschool parents.,1,1
2026-02-25 10:42:23,2026-02-25 10:45:09,0,100,165,1,2026-02-25 10:45:09,R_6R8hYbh0gicPcLs,anonymous,EN,1,1,1,40,1,NA,1,NA,14,1,5,4,4,2,1,NA,6,10,"1,2",4,5,4,2,4,1,4,5,5,4,4,39,4,I'm a technical writer for a corporate PC helpdesk,1,1
2026-02-25 10:39:03,2026-02-25 10:45:13,0,100,369,1,2026-02-25 10:45:13,R_71nhHZFX23wE5RY,anonymous,EN,1,1,1,45,11,Construction,2,NA,6,1,4,4,4,2,"1,3",NA,6,10,"1,2,3,6",4,5,4,3,4,1,4,5,4,4,5,15,4,I manage a small team of construction workers.,1,1
2026-02-25 10:40:46,2026-02-25 10:45:23,0,100,276,1,2026-02-25 10:45:23,R_7380ZPsVjN1qDKA,anonymous,EN,1,1,1,40,11,hospitality,1,NA,1,1,4,4,4,2,8,NA,2,5,6,3,4,4,3,3,1,3,5,4,5,3,52,4,I clean and prep,1,1
2026-02-25 10:42:20,2026-02-25 10:46:02,0,100,222,1,2026-02-25 10:46:03,R_7ooSVWTswjYHMF2,anonymous,EN,1,1,1,45,6,NA,1,NA,2,1,4,4,4,2,"1,2",NA,5,25,"1,5",4,4,4,4,3,1,3,4,4,2,4,25,4,financial reporting and accounting,1,1
