start_date,end_date,status,progress,duration_in_seconds,finished,recorded_date,response_id,distribution_channel,user_language,q_recaptcha_score,age,employed,hours_week,job_function,job_function_11_text,job_level,job_level_6_text,tenure_years,check_01,task_clarity,performance_criteria,solution_clarity,task_judgment,ai_tools,ai_tools_9_text,ai_frequency,ai_percent,ai_activities,ai_integration,ai_speed,ai_quality,ai_verification,relative_performance,formal_evaluation,evaluation_outcome,deadline_performance,quality_performance,output_volume,digital_comfort,experience_years,attention_check,job_description,employment_confirm,eligible,ai_z_freq,ai_z_pct,ai_z_int,ai_intensity_index,task_judgment_rev,task_standardization_index,relative_performance_ord
2026-02-23T10:08:58Z,2026-02-23T10:15:41Z,0,100,403,1,2026-02-23T10:15:41Z,R_3fOGEzK9vHtIx1h,anonymous,EN,1,1,1,40,8,NA,3,NA,6,1,4,4,4,3,1,NA,5,15,12,4,4,4,2,4,1,4,4,4,4,4,36,4,I manage the day-to-day operations of a Health Care Clinic.,1,1,0.4832090036515874,0.04572534887469833,0.7396978623609123,0.42287740496239934,3,3.75,4
2026-02-23T10:09:50Z,2026-02-23T10:15:44Z,0,100,353,1,2026-02-23T10:15:44Z,R_3adifeMed38GelP,anonymous,EN,1,1,1,40,5,NA,2,NA,7,1,5,5,5,5,68,NA,6,50,1356,5,5,5,2,5,1,4,5,4,4,4,15,4,Project management i oversee a team of 7.,1,1,1.007542177826714,2.1657187967016185,1.4867194659333187,1.5533268134872171,1,4,5
2026-02-23T10:11:54Z,2026-02-23T10:15:59Z,0,100,244,1,2026-02-23T10:15:59Z,R_6wbs6FGVD39OSMV,anonymous,EN,1,1,1,40,6,NA,1,NA,1,1,5,3,4,3,12,NA,6,10,123,4,5,4,2,4,1,3,4,4,4,1,3,4,Financial Analyst,1,1,1.007542177826714,-0.25713085795771884,0.7396978623609123,0.49670306074330245,3,3.75,4
2026-02-23T10:08:29Z,2026-02-23T10:16:45Z,0,100,495,1,2026-02-23T10:16:45Z,R_1wqA2d8CKZqBrQR,anonymous,EN,0.30000001192092896,1,1,62,2,NA,2,NA,0.6,1,5,5,5,2,1357,NA,5,60,12356,5,5,5,4,5,1,4,5,5,4,4,4,4,i oversee workers,1,1,0.4832090036515874,2.771431210366453,1.4867194659333187,1.580453226650453,4,4.75,5
2026-02-23T10:08:16Z,2026-02-23T10:16:55Z,0,100,518,1,2026-02-23T10:16:56Z,R_5E5ftkUQtZArwgF,anonymous,EN,1,1,1,40,8,NA,1,NA,2,1,4,4,4,2,238,NA,4,10,126,4,4,3,1,4,1,4,5,5,5,5,2,4,"I am a Customer Support Specialist, so my role involves assisting our customers and sales team with anything they may need.",1,1,-0.04112417052353919,-0.25713085795771884,0.7396978623609123,0.1471476112932181,4,4,4
2026-02-23T10:12:05Z,2026-02-23T10:16:57Z,0,100,292,1,2026-02-23T10:16:58Z,R_5yefxOmr3thmDDt,anonymous,EN,1,1,1,60,11,Writing,4,NA,19,1,4,4,2,4,10,NA,2,0,6,1,1,1,2,3,2,NA,3,4,3,4,42,4,My primary job is working as a writer and freelance illustrator.,1,1,-1.0897905188737924,-0.8628432716225531,-1.501366948356307,-1.1513335796175508,2,3,3
2026-02-23T10:08:39Z,2026-02-23T10:16:58Z,0,100,499,1,2026-02-23T10:16:59Z,R_68d6FSveJOHd5df,anonymous,EN,0.8999999761581421,1,1,40,8,NA,1,NA,4,1,4,4,5,2,128,NA,6,70,12,4,4,4,4,3,2,NA,5,5,4,4,4,4,I am a Sales agent who also helps with customer support inquiries.,1,1,1.007542177826714,3.377143624031287,0.7396978623609123,1.7081278880729711,4,4.25,3
2026-02-23T10:11:14Z,2026-02-23T10:17:23Z,0,100,368,1,2026-02-23T10:17:23Z,R_5dmv66hl6yqMVfE,anonymous,EN,1,1,1,50,2,NA,3,NA,12,1,4,4,4,2,134,NA,6,8,12345,4,4,4,2,4,1,4,4,4,5,5,34,4,I perform data analysis and data maintenance for a business services company.,1,1,1.007542177826714,-0.3782733406906857,0.7396978623609123,0.45632223316564685,4,4,4
2026-02-23T10:09:30Z,2026-02-23T10:18:04Z,0,100,514,1,2026-02-23T10:18:05Z,R_1UVlPI4zWYp2ofW,anonymous,EN,1,1,1,40,10,NA,3,NA,6,1,4,4,5,2,1,NA,2,5,15,2,4,3,3,4,1,4,5,5,5,5,19,4,Office manager for agriculture company,1,1,-1.0897905188737924,-0.5599870647901359,-0.7543453447839006,-0.8013743094826097,4,4.25,4
2026-02-23T10:09:52Z,2026-02-23T10:19:37Z,0,100,585,1,2026-02-23T10:19:37Z,R_1GEtUiBhRiNv4YJ,anonymous,EN,1,1,1,40,11,Education,2,NA,13.5,1,4,4,3,3,13,NA,6,20,1236,3,5,5,1,4,1,4,5,5,5,5,13.5,4,I teach students math:,1,1,1.007542177826714,0.34858155570711546,-0.007323741211494155,0.4495999974407784,3,3.5,4
2026-02-23T10:07:56Z,2026-02-23T10:21:04Z,0,100,787,1,2026-02-23T10:21:04Z,R_7ReGxAfHGLvkHwu,anonymous,EN,0.800000011920929,1,1,40,8,NA,1,NA,3.5,1,5,4,4,2,10,NA,1,0,7,2,3,3,1,3,1,4,4,4,2,4,10,4,I schedule appointments for eye doctors,1,1,-1.614123693048919,-0.8628432716225531,-0.7543453447839006,-1.077104103151791,4,4.25,3
2026-02-23T10:11:13Z,2026-02-23T10:21:34Z,0,100,621,1,2026-02-23T10:21:35Z,R_7EJZqs35og10e0x,anonymous,EN,0.8999999761581421,1,1,40,6,NA,1,NA,5,1,5,4,4,3,1,NA,4,10,5,2,4,4,1,3,1,4,4,3,2,4,16,4,I process loans for a non-profit that provides financing to small business owners that want to buy the building that they current rent.,1,1,-0.04112417052353919,-0.25713085795771884,-0.7543453447839006,-0.3508667910883862,3,4,3
2026-02-23T10:12:00Z,2026-02-23T10:22:18Z,0,100,617,1,2026-02-23T10:22:18Z,R_11hfA3smaiYEoXD,anonymous,EN,1,1,1,40,8,NA,2,NA,6.5,1,4,5,4,3,15,NA,3,5,56,3,4,4,2,4,1,4,5,5,4,4,25,4,My primary job is to manage the operation of a college library,1,1,-0.5654573446986658,-0.5599870647901359,-0.007323741211494155,-0.3775893835667653,3,4,4
2026-02-23T10:08:52Z,2026-02-23T10:25:45Z,0,100,1012,1,2026-02-23T10:25:46Z,R_1k0xfRC5ryEUlCl,anonymous,EN,1,1,1,45,3,NA,2,NA,3,1,4,5,3,4,2,NA,4,5,126,3,4,5,4,5,1,5,5,5,5,5,21,4,"I handle all same-day and/or service calls for a commercial and residential electrical company, while managing a team of service technicians.",1,1,-0.04112417052353919,-0.5599870647901359,-0.007323741211494155,-0.20281165884172309,2,3.5,5
2026-02-23T10:10:39Z,2026-02-23T10:26:19Z,0,100,939,1,2026-02-23T10:26:19Z,R_5hXZBaypfTdj5Jd,anonymous,EN,1,1,1,40,1,NA,3,NA,8,1,5,4,5,2,15,NA,5,45,236,4,5,4,3,4,1,4,5,5,4,4,19,4,my job is being an IT Manager in my company,1,1,0.4832090036515874,1.8628625898692013,0.7396978623609123,1.0285898186272338,4,4.5,4
2026-02-23T10:11:01Z,2026-02-23T10:26:47Z,0,100,945,1,2026-02-23T10:26:47Z,R_3JCmGIpAZcoLu4B,anonymous,EN,1,1,1,40,8,NA,1,NA,4,1,4,4,4,5,8,NA,2,5,25,2,5,4,4,3,1,4,4,5,4,4,11,4,Client service management and retention,1,1,-1.0897905188737924,-0.5599870647901359,-0.7543453447839006,-0.8013743094826097,1,3.25,3
2026-02-23T10:48:59Z,2026-02-23T10:54:40Z,0,100,340,1,2026-02-23T10:54:40Z,R_7WpAfjXeyJrRRAt,anonymous,EN,1,1,1,40,5,NA,1,NA,2,1,4,4,5,2,15,NA,4,30,125,3,4,4,2,3,1,4,4,4,3,4,17,4,Digital marketing for a real estate company,1,1,-0.04112417052353919,0.9542939693719498,-0.007323741211494155,0.30194868587897217,4,4.25,3
2026-02-25T10:27:47Z,2026-02-25T10:30:21Z,0,100,154,1,2026-02-25T10:30:22Z,R_6woJqaDOhayuvIZ,anonymous,EN,1,1,1,40,1,NA,1,NA,0.5,1,3,2,2,5,2,NA,6,10,1236,3,4,4,2,3,2,NA,4,4,3,4,6.5,4,Internal auditing of software teams for new cybersecurity related standards and certifications,1,1,1.007542177826714,-0.25713085795771884,-0.007323741211494155,0.24769585955250034,1,2,3
2026-02-25T10:27:58Z,2026-02-25T10:30:37Z,0,100,158,1,2026-02-25T10:30:38Z,R_6QRjKFwAsyrBNWY,anonymous,EN,1,1,1,40,11,Law,3,NA,13,1,4,4,4,4,10,NA,1,0,7,2,2,2,2,2,1,4,4,4,4,4,25,4,I am a police officer.,1,1,-1.614123693048919,-0.8628432716225531,-0.7543453447839006,-1.077104103151791,2,3.5,2
2026-02-25T10:28:33Z,2026-02-25T10:30:59Z,0,100,146,1,2026-02-25T10:31:00Z,R_7akJSc4Mzs9D4I4,anonymous,EN,1,1,1,40,1,NA,1,NA,14.5,1,4,4,4,3,1,NA,2,1,4,2,3,4,3,3,1,4,4,4,3,5,28,4,I am a consulting software tester.,1,1,-1.0897905188737924,-0.8022720302560697,-0.7543453447839006,-0.8821359646379209,3,3.75,3
2026-02-25T10:28:05Z,2026-02-25T10:31:16Z,0,100,191,1,2026-02-25T10:31:16Z,R_7fHIcSP2DnvyPaX,anonymous,EN,1,1,1,45,3,NA,3,NA,6,1,4,4,4,2,2357,NA,5,10,125,4,5,5,2,4,1,4,5,5,5,5,28,4,I am a caretaker and a manager.,1,1,0.4832090036515874,-0.25713085795771884,0.7396978623609123,0.3219253360182603,4,4,4
2026-02-25T10:28:23Z,2026-02-25T10:31:20Z,0,100,177,1,2026-02-25T10:31:21Z,R_3Nx1m6gMMIKSQcT,anonymous,EN,1,1,1,40,3,NA,1,NA,3,1,2,1,2,2,2,NA,3,10,1,2,2,4,4,3,2,NA,4,4,2,4,3,4,I am an engineer at an environmental consulting company,1,1,-0.5654573446986658,-0.25713085795771884,-0.7543453447839006,-0.5256445158134284,4,2.25,3
2026-02-25T10:27:48Z,2026-02-25T10:31:28Z,0,100,220,1,2026-02-25T10:31:29Z,R_7Esf8C1ci3exp4O,anonymous,EN,1,1,1,40,6,NA,1,NA,2.5,1,3,2,2,4,10,NA,2,2,7,1,1,1,1,4,2,NA,5,4,4,5,14.5,4,I process accounts receivable and payable as well as process payroll and expense processing,1,1,-1.0897905188737924,-0.7417007888895862,-1.501366948356307,-1.1109527520398952,2,2.25,4
2026-02-25T10:28:23Z,2026-02-25T10:31:31Z,0,100,187,1,2026-02-25T10:31:31Z,R_3inxSdMDYoGLyH5,anonymous,EN,1,1,1,40,11,Elections Technology,1,NA,10,1,4,4,4,2,1,NA,2,1,346,1,4,4,2,5,2,NA,5,5,5,5,10,4,To create ballot tabulation databases,1,1,-1.0897905188737924,-0.8022720302560697,-1.501366948356307,-1.131143165828723,4,4,5
2026-02-25T10:27:47Z,2026-02-25T10:32:33Z,0,100,285,1,2026-02-25T10:32:33Z,R_6IzQlN09Ditsslo,anonymous,EN,1,1,1,40,6,NA,3,NA,9,1,5,5,4,2,1,NA,5,5,23,4,4,4,2,4,1,4,4,4,4,5,15,4,Accounting and payroll.,1,1,0.4832090036515874,-0.5599870647901359,0.7396978623609123,0.22097326707412127,4,4.5,4
2026-02-25T10:31:00Z,2026-02-25T10:33:27Z,0,100,147,1,2026-02-25T10:33:28Z,R_6ONhBkdkjvPjIoa,anonymous,EN,1,1,1,50,10,NA,3,NA,18,1,5,5,5,1,10,NA,1,0,7,1,1,1,1,5,1,4,5,5,5,3,33,4,I run a crew that builds and remodels homes,1,1,-1.614123693048919,-0.8628432716225531,-1.501366948356307,-1.326111304342593,5,5,5
2026-02-25T10:31:06Z,2026-02-25T10:33:49Z,0,100,162,1,2026-02-25T10:33:49Z,R_7xj0OCin1pTVRyV,anonymous,EN,1,1,1,40,1,NA,1,NA,4,1,3,2,1,5,2,NA,5,1,1356,3,5,4,3,4,1,3,5,5,5,4,20,4,I am an R&D Engineer in a building materials company and I work on developing new products at a lab scale,1,1,0.4832090036515874,-0.8022720302560697,-0.007323741211494155,-0.10879558927199216,1,1.75,4
2026-02-25T10:30:14Z,2026-02-25T10:33:49Z,0,100,215,1,2026-02-25T10:33:50Z,R_7DV5GOeohPrHi1P,anonymous,EN,1,1,1,40,3,NA,5,NA,3,1,4,4,4,2,3,NA,3,5,136,2,4,4,2,3,2,NA,4,4,4,4,30,4,"Owner, e-commerce business.",1,1,-0.5654573446986658,-0.5599870647901359,-0.7543453447839006,-0.6265965847575674,4,4,3
2026-02-25T10:30:26Z,2026-02-25T10:33:51Z,0,100,205,1,2026-02-25T10:33:52Z,R_6rd1TDp0S70tRct,anonymous,EN,0.8999999761581421,1,1,50,4,NA,1,NA,18,1,2,4,2,5,1,NA,4,10,14,2,4,4,3,4,1,4,5,5,4,4,30,4,I am a Sales Engineer for a start up software company.,1,1,-0.04112417052353919,-0.25713085795771884,-0.7543453447839006,-0.3508667910883862,1,2.25,4
2026-02-25T10:28:02Z,2026-02-25T10:34:19Z,0,100,377,1,2026-02-25T10:34:20Z,R_16Valmy65iacRXP,anonymous,EN,1,1,1,40,11,Consulting,1,NA,1,1,4,3,4,1,1,NA,3,5,2,1,4,4,1,3,2,NA,4,4,4,3,7,4,I work with Architects and Engineers on their designs as I prepare their drawings to be ready to be filed at the Department of Buildings,1,1,-0.5654573446986658,-0.5599870647901359,-1.501366948356307,-0.8756037859483696,5,4,3
2026-02-25T10:28:12Z,2026-02-25T10:34:27Z,0,100,375,1,2026-02-25T10:34:28Z,R_6ZGn3gE8uC2f30t,anonymous,EN,1,1,1,50,3,NA,2,NA,6,1,2,2,1,5,1,NA,6,10,123,5,5,5,2,4,1,5,5,5,5,5,11,4,I manage a team that assemebles motor control systems,1,1,1.007542177826714,-0.25713085795771884,1.4867194659333187,0.7457102619341046,1,1.5,4
2026-02-25T10:31:46Z,2026-02-25T10:34:45Z,0,100,179,1,2026-02-25T10:34:46Z,R_1HpkqgiXNI63m3l,anonymous,EN,0.8999999761581421,1,1,40,11,Forestry/Logging,1,NA,13,1,5,5,5,1,10,NA,1,0,7,1,3,3,2,3,1,3,5,5,4,5,13,4,"I work in a small team on trees; falling, pruning, etc.",1,1,-1.614123693048919,-0.8628432716225531,-1.501366948356307,-1.326111304342593,5,5,3
2026-02-25T10:32:25Z,2026-02-25T10:34:50Z,0,100,145,1,2026-02-25T10:34:51Z,R_5tYcQpAfWf43Smt,anonymous,EN,1,1,1,40,1,NA,1,NA,18,1,4,4,4,2,10,NA,1,0,7,1,1,1,4,3,1,4,5,5,5,2,18,4,I am a web application tester.,1,1,-1.614123693048919,-0.8628432716225531,-1.501366948356307,-1.326111304342593,4,4,3
2026-02-25T10:31:51Z,2026-02-25T10:34:57Z,0,100,186,1,2026-02-25T10:34:58Z,R_1yj9LwF5s2ZPdki,anonymous,EN,1,1,1,40,11,Scientist,1,NA,5,1,4,4,4,4,1,NA,3,1,1,2,4,4,4,3,1,3,4,4,4,4,10,4,Scientist working in biosafety testing,1,1,-0.5654573446986658,-0.8022720302560697,-0.7543453447839006,-0.7073582399128787,2,3.5,3
2026-02-25T10:32:01Z,2026-02-25T10:35:22Z,0,100,201,1,2026-02-25T10:35:22Z,R_7Z8tGxOviqQmP1T,anonymous,EN,1,1,1,40,10,NA,3,NA,5,1,4,4,4,4,28,NA,4,5,56,2,3,3,4,3,1,2,5,4,3,4,14,4,I am a Program Manager,1,1,-0.04112417052353919,-0.5599870647901359,-0.7543453447839006,-0.45181886003252525,2,3.5,3
2026-02-25T10:27:38Z,2026-02-25T10:35:23Z,0,100,464,1,2026-02-25T10:35:24Z,R_65MijN9s1dGV5VT,anonymous,EN,1,1,1,40,6,NA,3,NA,1.6,1,4,4,4,2,127,NA,5,25,125,4,5,5,1,4,1,4,5,5,5,4,8,4,Financial reporting and budgets,1,1,0.4832090036515874,0.6514377625395327,0.7396978623609123,0.6247815428506774,4,4,4
2026-02-25T10:32:21Z,2026-02-25T10:35:33Z,0,100,191,1,2026-02-25T10:35:33Z,R_1etyA8eGOSd6LzW,anonymous,EN,1,1,1,40,2,NA,1,NA,1,1,3,2,2,4,12,NA,5,10,1245,3,4,2,5,3,2,NA,4,5,2,5,8,4,I am a scientist.,1,1,0.4832090036515874,-0.25713085795771884,-0.007323741211494155,0.07291813482745815,2,2.25,3
2026-02-25T10:29:49Z,2026-02-25T10:35:51Z,0,100,361,1,2026-02-25T10:35:51Z,R_5qBdrhgskJ4skmJ,anonymous,EN,1,1,1,35,11,education,3,NA,9,1,4,4,3,4,25,NA,6,30,1236,3,4,4,3,3,1,3,4,4,4,4,9,4,I am a teacher at a charter school,1,1,1.007542177826714,0.9542939693719498,-0.007323741211494155,0.6515041353290565,2,3.25,3
2026-02-25T10:33:04Z,2026-02-25T10:35:56Z,0,100,171,1,2026-02-25T10:35:56Z,R_6s4et7Tp1Z6zUH6,anonymous,EN,1,1,1,40,1,NA,1,NA,1.75,1,4,4,3,4,1,NA,6,40,4,5,5,5,3,4,1,4,5,5,5,5,6,4,"I am a software developer tasked with writing code, tests, implementing new features, and fixing bugs.",1,1,1.007542177826714,1.5600063830367843,1.4867194659333187,1.351422675598939,2,3.25,4
2026-02-25T10:30:15Z,2026-02-25T10:36:27Z,0,100,372,1,2026-02-25T10:36:27Z,R_5RNLod3XsrMeeI1,anonymous,EN,1,1,1,32,8,NA,1,NA,9.3,1,5,3,5,1,10,NA,1,0,7,1,1,1,3,3,2,NA,3,3,3,3,32.3,4,customer service for a logistics company,1,1,-1.614123693048919,-0.8628432716225531,-1.501366948356307,-1.326111304342593,5,4.5,3
2026-02-25T10:33:09Z,2026-02-25T10:37:03Z,0,100,233,1,2026-02-25T10:37:03Z,R_6rx30NE89vzOoct,anonymous,EN,1,1,1,40,4,NA,4,NA,3,1,3,3,4,4,1257,NA,5,20,1236,4,4,4,2,3,1,3,4,4,4,4,22,4,I am responsible for sales in my organization.,1,1,0.4832090036515874,0.34858155570711546,0.7396978623609123,0.5238294739065383,2,3,3
2026-02-25T10:34:40Z,2026-02-25T10:37:21Z,0,100,161,1,2026-02-25T10:37:22Z,R_5nUd4eSVBh6EoPn,anonymous,EN,1,1,1,40,2,NA,1,NA,2,1,4,4,4,3,13,NA,5,15,12346,3,4,3,3,4,1,5,5,4,4,5,13,4,I run data analysis for an HR/leadership/coaching consultancy firm,1,1,0.4832090036515874,0.04572534887469833,-0.007323741211494155,0.1738702037715972,3,3.75,4
2026-02-25T10:33:18Z,2026-02-25T10:37:41Z,0,100,263,1,2026-02-25T10:37:41Z,R_1KuT3XZEPAov7dO,anonymous,EN,1,1,1,40,8,NA,1,NA,8,1,4,4,4,4,2,NA,4,20,2,4,4,5,4,3,2,NA,4,4,4,4,22,4,I work as a caregiver helping seniors,1,1,-0.04112417052353919,0.34858155570711546,0.7396978623609123,0.3490517491814962,2,3.5,3
2026-02-25T10:29:58Z,2026-02-25T10:37:44Z,0,100,465,1,2026-02-25T10:37:44Z,R_3SAWpWs0kiFdJuG,anonymous,EN,1,1,1,40,2,NA,1,NA,9,1,4,4,4,2,2,NA,2,3,36,2,4,3,2,4,1,4,4,4,5,5,9,4,I perform DNA extraction on crop samples,1,1,-1.0897905188737924,-0.6811295475231028,-0.7543453447839006,-0.8417551370602653,4,4,4
2026-02-25T10:34:13Z,2026-02-25T10:38:03Z,0,100,230,1,2026-02-25T10:38:04Z,R_5XYKH6T8j8wItUJ,anonymous,EN,1,1,1,40,11,Administrative,1,NA,8.5,1,5,5,5,2,1,NA,6,35,12356,5,5,5,1,4,1,4,5,4,4,5,26,4,I am an office technician who performs data entry and data analysis.,1,1,1.007542177826714,1.257150176204367,1.4867194659333187,1.2504706066548,4,4.75,4
2026-02-25T10:34:39Z,2026-02-25T10:38:30Z,0,100,231,1,2026-02-25T10:38:30Z,R_5rTASbAC4zZ1hnL,anonymous,EN,1,1,1,40,2,NA,1,NA,1.8,1,4,3,2,5,8,NA,6,80,25,5,3,3,4,3,1,2,5,3,4,4,5,4,Rating and classifying any issues in terms of AI helpfulness in terms of search quality.,1,1,1.007542177826714,3.982856037696121,1.4867194659333187,2.1590392271520513,1,2.5,3
2026-02-25T10:34:19Z,2026-02-25T10:38:30Z,0,100,251,1,2026-02-25T10:38:31Z,R_3OUAZxOwxWYHq1t,anonymous,EN,1,1,1,40,1,NA,2,NA,3,1,4,4,4,2,9,ChatGPT,6,30,12345,5,5,5,1,5,2,NA,5,5,5,5,27,4,Computer programmer lead,1,1,1.007542177826714,0.9542939693719498,1.4867194659333187,1.149518537710661,4,4,5
2026-02-25T10:35:28Z,2026-02-25T10:39:24Z,0,100,236,1,2026-02-25T10:39:25Z,R_3lnkPvGHEmWhxWT,anonymous,EN,1,1,1,45,11,I do all of the above aside from operation.,4,NA,9,1,2,2,2,4,1,NA,6,10,123,4,4,4,2,5,2,NA,5,5,4,5,27,4,"I manage the whole company a/p, a/r, sales, IT, dispatch, admin etc.",1,1,1.007542177826714,-0.25713085795771884,0.7396978623609123,0.49670306074330245,2,2,5
2026-02-25T10:38:12Z,2026-02-25T10:39:57Z,0,100,105,1,2026-02-25T10:39:57Z,R_6Ufm44K8F2705du,anonymous,EN,1,1,1,40,2,NA,1,NA,3,1,4,4,4,3,10,NA,1,0,7,2,2,2,2,3,2,NA,4,4,4,3,37,4,I do freelance data entry,1,1,-1.614123693048919,-0.8628432716225531,-0.7543453447839006,-1.077104103151791,3,3.75,3
